dataset,angle_deg,calculation_angle_deg,experimental,fitted
La 4d,13.14,13.43743455125938,1.018595314446611,1.0059544631212867
La 4d,13.18,13.477434551259378,1.026888997757261,1.0117229958565177
La 4d,13.22,13.51743455125938,1.0354521218148272,1.0152764806338486
La 4d,13.26,13.557434551259378,1.0357592500428334,1.0156090243419278
La 4d,13.3,13.59743455125938,1.0341328800134526,1.0142421797312198
La 4d,13.34,13.637434551259378,1.0350315949080258,1.0147826635681665
La 4d,13.38,13.67743455125938,1.0420532098356057,1.020913074641817
La 4d,13.42,13.717434551259378,1.04345849544445,1.0338106849333448
La 4d,13.46,13.75743455125938,1.060102735340785,1.0505534253514253
La 4d,13.5,13.797434551259379,1.0699959550312452,1.0646999457092219
La 4d,13.54,13.837434551259378,1.0761452230104782,1.0690126154634103
La 4d,13.58,13.877434551259379,1.0589091604945648,1.0589757815091756
La 4d,13.620000000000001,13.91743455125938,1.0303786613006227,1.0352345751057503
La 4d,13.66,13.957434551259379,0.9963761896970346,1.0036673524267015
La 4d,13.7,13.997434551259378,0.9673006104951568,0.9730703654541132
La 4d,13.74,14.037434551259379,0.9394272311864942,0.9516015853368178
La 4d,13.780000000000001,14.07743455125938,0.9228338440006363,0.9436358676122265
La 4d,13.82,14.117434551259379,0.930470876806965,0.9483968714177514
La 4d,13.86,14.157434551259378,0.9497866511177327,0.9608698401664177
La 4d,13.9,14.197434551259379,0.9665095890559806,0.9744514655136824
La 4d,13.94,14.237434551259378,0.9805652075650041,0.9839984219570108
La 4d,13.98,14.277434551259379,0.9940707912616281,0.9877810408079044
La 4d,14.02,14.317434551259378,0.9880505733523457,0.9874753697001318
La 4d,14.06,14.357434551259379,0.9752517409989215,0.9864372728790367
La 4d,14.1,14.397434551259378,0.9723984874467916,0.9874309656577341
La 4d,14.14,14.43743455125938,0.9724018840501554,0.9911483437554863
La 4d,14.18,14.477434551259378,0.9724170781580044,0.9962119431490053
La 4d,14.22,14.51743455125938,0.9808104932012603,1.0003998799296951
La 4d,14.26,14.557434551259378,0.9912478801636248,1.0021759351052173
La 4d,14.3,14.59743455125938,0.9979752406519085,1.0015731063081237
La 4d,14.34,14.637434551259378,0.9937996353758323,0.9999896839868905
La 4d,14.38,14.67743455125938,0.9864705102529815,0.9991601334315203
La 4d,14.42,14.717434551259378,0.9851339096094677,1.0000339881265903
La 4d,14.46,14.75743455125938,0.9872165553453909,1.0022718494653342
La 4d,14.5,14.797434551259379,0.9924090461365418,1.0046067059457433
La 4d,14.540000000000001,14.83743455125938,0.9956950855210784,1.0057520333496088
La 4d,14.58,14.877434551259379,1.0028009737141161,1.005230504756302
La 4d,14.620000000000001,14.91743455125938,1.0032613558082741,1.0036100287316578
La 4d,14.66,14.957434551259379,1.0007377901185932,1.0020535096231449
La 4d,14.7,14.997434551259378,0.9992356247466828,1.0015284865094072
La 4d,14.74,15.037434551259379,0.998277972445126,1.0022084273571321
